Id	Describe	Color	AddHpMax1	AddHpMax2	AddEpMax1	AddEpMax2	AddAd1	AddAd2	AddADp1	AddADp2	AddMDp1	AddMDp2	AddCri1	AddCri2	AddPow1	AddPow2	AddBackHitPow1	AddBackHitPow2	AddCrackPow1	AddCrackPow2	AddHpRecover1	AddHpRecover2	AddEpRecover1	AddEpRecover2	AddSpd1	AddSpd2	AddFireDam1	AddFireDam2	AddFireErd1	AddFireErd2	AddIceDam1	AddIceDam2	AddIceErd1	AddIceErd2	AddPoisonDam1	AddPoisonDam2	AddPoisonErd1	AddPoisonErd2	AddWeight1	AddWeight2	AddRps1	AddRps2	AddAttackRange1	AddAttackRange2
#我是注释行																																												
1	我是描述		10000																																									
2	我是描述																																											
24001													1																															
24002													2																															
24003													3																															
24004															3																													
24005															4																													
24006															5																													
34001													2																															
34002													3																															
34003													4																															
34004															4																													
34005															5																													
34006															6																													
44001													4																															
44002													5																															
44003													6																															
44004															5																													
44005															7																													
44006															9																													
45001													5																															
45002													6																															
45003													7																															
45004															6																													
45005															8																													
45006															10																													
45010																	3		3																									
45011																	4		4																									
45012																	5		5																									
46001													6																															
46002													7																															
46003													8																															
46004															8																													
46005															10																													
46006															12																													
46010																	4		4																									
46011																	5		5																									
46012																	6		6																									
54001													2				6		6																									
54002													3				6		6																									
54003													4				6		6																									
54004													2				8		8																									
54005													3				8		8																									
54006													4				8		8																									
54007													2				10		10																									
54008													3				10		10																									
54009													4				10		10																									
54010													2																															
54011													3																															
54012													4																															
54013																	6		6																									
54014																	8		8																									
54015																	10		10																									
54016															2		6		6																									
54017															3		6		6																									
54018															4		6		6																									
54019															2		8		8																									
54020															3		8		8																									
54021															4		8		8																									
54022															2		10		10																									
54023															3		10		10																									
54024															4		10		10																									
54025															2																													
54026															3																													
54027															4																													
54028																	6		6																									
54029																	8		8																									
54030																	10		10																									
55001													10				1		1																									
55002													12				1		1																									
55003													14				1		1																									
55004													10				2		2																									
55005													12				2		2																									
55006													14				2		2																									
55007													10				3		3																									
55008													12				3		3																									
55009													14				3		3																									
55010													10																															
55011													12																															
55012													14																															
55013																	1		1																									
55014																	2		2																									
55015																	3		3																									
55016															14		1		1																									
55017															16		1		1																									
55018															18		1		1																									
55019															14		2		2																									
55020															16		2		2																									
55021															18		2		2																									
55022															14		3		3																									
55023															16		3		3																									
55024															18		3		3																									
55025															14																													
55026															16																													
55027															18																													
55028																	1		1																									
55029																	2		2																									
55030																	3		3																									
55031															18		1		1																									
55032															18		2		2																									
55033															18		3		3																									
55034															18																													
91001													1		2		1		1										5000				5000				5000							
91002													1		2		1		1								5000				5000				5000									
101010																							500																					
101020																					500																							
101030								1000000200																																				
101040				1000000200																																								
