ID	Critical	C
1	0.001	0
2	0.002	0
3	0.003	0
4	0.004	0
5	0.005	0
6	0.006	0
7	0.007	0
8	0.008	0.0001
9	0.009	0.0001
10	0.01	0.0001
11	0.011	0.0002
12	0.012	0.0002
13	0.013	0.0002
14	0.014	0.0003
15	0.015	0.0003
16	0.016	0.0004
17	0.017	0.0004
18	0.018	0.0005
19	0.019	0.0005
20	0.02	0.0006
21	0.021	0.0007
22	0.022	0.0007
23	0.023	0.0008
24	0.024	0.0009
25	0.025	0.001
26	0.026	0.001
27	0.027	0.0011
28	0.028	0.0012
29	0.029	0.0013
30	0.03	0.0014
31	0.031	0.0015
32	0.032	0.0016
33	0.033	0.0017
34	0.034	0.0018
35	0.035	0.0019
36	0.036	0.002
37	0.037	0.0021
38	0.038	0.0022
39	0.039	0.0023
40	0.04	0.0025
41	0.041	0.0026
42	0.042	0.0027
43	0.043	0.0028
44	0.044	0.003
45	0.045	0.0031
46	0.046	0.0032
47	0.047	0.0034
48	0.048	0.0035
49	0.049	0.0037
50	0.05	0.0038
51	0.051	0.004
52	0.052	0.0041
53	0.053	0.0043
54	0.054	0.0045
55	0.055	0.0046
56	0.056	0.0048
57	0.057	0.005
58	0.058	0.0051
59	0.059	0.0053
60	0.06	0.0055
61	0.061	0.0057
62	0.062	0.0058
63	0.063	0.006
64	0.064	0.0062
65	0.065	0.0064
66	0.066	0.0066
67	0.067	0.0068
68	0.068	0.007
69	0.069	0.0072
70	0.07	0.0074
71	0.071	0.0076
72	0.072	0.0078
73	0.073	0.008
74	0.074	0.0083
75	0.075	0.0085
76	0.076	0.0087
77	0.077	0.0089
78	0.078	0.0092
79	0.079	0.0094
80	0.08	0.0096
81	0.081	0.0099
82	0.082	0.0101
83	0.083	0.0103
84	0.084	0.0106
85	0.085	0.0108
86	0.086	0.0111
87	0.087	0.0113
88	0.088	0.0116
89	0.089	0.0118
90	0.09	0.0121
91	0.091	0.0124
92	0.092	0.0126
93	0.093	0.0129
94	0.094	0.0132
95	0.095	0.0134
96	0.096	0.0137
