Id	LinkId	FightingScore	MonsterType	AttributeId
#我是注释行	#NpcId	#战斗力	#怪物类型	#属性Id
1	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	309	0	1|1|1|1|1|1|1|1|1|1|1001|1001|1001|1001|1001|1001|1001|1001|1001|1001|2001|2001|2001|2001|2001|2001|2001|2001|2001|2001
2	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	344	0	2|2|2|2|2|2|2|2|2|2|1002|1002|1002|1002|1002|1002|1002|1002|1002|1002|2002|2002|2002|2002|2002|2002|2002|2002|2002|2002
3	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	380	0	3|3|3|3|3|3|3|3|3|3|1003|1003|1003|1003|1003|1003|1003|1003|1003|1003|2003|2003|2003|2003|2003|2003|2003|2003|2003|2003
4	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	415	0	4|4|4|4|4|4|4|4|4|4|1004|1004|1004|1004|1004|1004|1004|1004|1004|1004|2004|2004|2004|2004|2004|2004|2004|2004|2004|2004
5	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	450	0	5|5|5|5|5|5|5|5|5|5|1005|1005|1005|1005|1005|1005|1005|1005|1005|1005|2005|2005|2005|2005|2005|2005|2005|2005|2005|2005
6	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	486	0	6|6|6|6|6|6|6|6|6|6|1006|1006|1006|1006|1006|1006|1006|1006|1006|1006|2006|2006|2006|2006|2006|2006|2006|2006|2006|2006
7	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	521	0	7|7|7|7|7|7|7|7|7|7|1007|1007|1007|1007|1007|1007|1007|1007|1007|1007|2007|2007|2007|2007|2007|2007|2007|2007|2007|2007
8	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	556	0	8|8|8|8|8|8|8|8|8|8|1008|1008|1008|1008|1008|1008|1008|1008|1008|1008|2008|2008|2008|2008|2008|2008|2008|2008|2008|2008
9	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	592	0	9|9|9|9|9|9|9|9|9|9|1009|1009|1009|1009|1009|1009|1009|1009|1009|1009|2009|2009|2009|2009|2009|2009|2009|2009|2009|2009
10	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	627	0	10|10|10|10|10|10|10|10|10|10|1010|1010|1010|1010|1010|1010|1010|1010|1010|1010|2010|2010|2010|2010|2010|2010|2010|2010|2010|2010
11	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	662	0	11|11|11|11|11|11|11|11|11|11|1011|1011|1011|1011|1011|1011|1011|1011|1011|1011|2011|2011|2011|2011|2011|2011|2011|2011|2011|2011
12	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	698	0	12|12|12|12|12|12|12|12|12|12|1012|1012|1012|1012|1012|1012|1012|1012|1012|1012|2012|2012|2012|2012|2012|2012|2012|2012|2012|2012
13	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	733	0	13|13|13|13|13|13|13|13|13|13|1013|1013|1013|1013|1013|1013|1013|1013|1013|1013|2013|2013|2013|2013|2013|2013|2013|2013|2013|2013
14	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	768	0	14|14|14|14|14|14|14|14|14|14|1014|1014|1014|1014|1014|1014|1014|1014|1014|1014|2014|2014|2014|2014|2014|2014|2014|2014|2014|2014
15	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	803	0	15|15|15|15|15|15|15|15|15|15|1015|1015|1015|1015|1015|1015|1015|1015|1015|1015|2015|2015|2015|2015|2015|2015|2015|2015|2015|2015
16	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	839	0	16|16|16|16|16|16|16|16|16|16|1016|1016|1016|1016|1016|1016|1016|1016|1016|1016|2016|2016|2016|2016|2016|2016|2016|2016|2016|2016
17	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	874	0	17|17|17|17|17|17|17|17|17|17|1017|1017|1017|1017|1017|1017|1017|1017|1017|1017|2017|2017|2017|2017|2017|2017|2017|2017|2017|2017
18	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	909	0	18|18|18|18|18|18|18|18|18|18|1018|1018|1018|1018|1018|1018|1018|1018|1018|1018|2018|2018|2018|2018|2018|2018|2018|2018|2018|2018
19	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	945	0	19|19|19|19|19|19|19|19|19|19|1019|1019|1019|1019|1019|1019|1019|1019|1019|1019|2019|2019|2019|2019|2019|2019|2019|2019|2019|2019
20	80001|80002|80003|80004|80005|80006|80007|80008|80009|80010|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|82001|82002|82003|82004|82005|82006|82007|82008|82009|82010	988	0	20|20|20|20|20|20|20|20|20|20|1020|1020|1020|1020|1020|1020|1020|1020|1020|1020|2020|2020|2020|2020|2020|2020|2020|2020|2020|2020
