TollgateNum	RelativeScore	DropOutMoney	MoneyFactor	DropOutItemId_1	ItemProbality_1	ItemFactor_1	DropOutItemId_2	ItemProbality_2	ItemFactor_2	ImageAiLogic	FlushPos_1	FlushPos_2	FlushPos_3	FlushPos_4	FlushPos_5
1	0.7	500	2000	55103	1					30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
2	0.8	520	2000							30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
3	0.9	540	2000	55105	1					30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
4	0.95	560	2000							30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
5	1	580	2000							30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
6	1	600	2000	55102	1					30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
7	1	620	2000							30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
8	1	640	2000	55104	1					30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
9	1.02	660	2000							30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
10	1.05	680	2000	55106	0.5	0.1				30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
11	1.07	700	2000							30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
12	1.1	720	2000	55101	0.5	0.1				30001	18.50 150.1627 26.54	20.20 150.1627 38.95	32.73 150.1627 40.05	44.35 150.1627 38.66	47.22 150.1627 26.53
