ItemId	ItemName	ItemTrueName	ItemType	Description	CanWear	WearParts	Grade	CanUpgrade	CanDeve	ElementType	AttachedProperty	Inlay	Weight	UseLogicId	UseResultDesc	UseResultData	AddBuffOnEquiping	AddSkillOnEquiping	ShowInShop	Model	UiModel	MaxStackNum	ConsumeItems	ConsumeMoney	PropertyRank	AddExp	AddMoney	AddBuffer	AddHpMax	AddEpMax	AddAd	AddADp	AddMDp	AddCri	AddPow	AddBackHitPow	AddCrackPow	AddHpRecover	AddEpRecover	AddSpd	AddFireDam	AddFireErd	AddIceDam	AddIceErd	AddPoisonDam	AddPoisonErd	AddWeight	AddRps	AddAttackRange	Introduce	ItemSkillFirst	ItemSkillSecond	ItemSkillThird	NormalIcon	BigIcon	SellingPrice	SellGainGoldProb	SellGainGoldNum	LevelUpAddHpMax	LevelUpAddEpMax	LevelUpAddAd	LevelUpAddADp	LevelUpAddMDp
101	金币	UI/GoodsPhoto/Money	金币					FALSE	FALSE													1			1																																						
102	钻石	UI/GoodsPhoto/Diamond	钻石					FALSE	FALSE													1			1																																						
103	经验	UI/GoodsPhoto/Exp	经验					FALSE	FALSE													1			1																																						
14101	锋利的剑	UI/GoodsPhoto/14101	武器		TRUE	0		TRUE	TRUE													1			1						1560																									1	0.5	1			216		
14102	皮盔	UI/GoodsPhoto/14102	帽子		TRUE	1		TRUE	TRUE													1			1				5400				660																							1	0.5	1	540				135
14103	皮甲	UI/GoodsPhoto/14103	衣服		TRUE	2		TRUE	TRUE													1			1				9000			660																								1	0.5	1	900			135	
14104	皮靴	UI/GoodsPhoto/14104	鞋子		TRUE	3		TRUE	TRUE													1			1							440	440																							1	0.5	1				90	90
14105	飞鹰吊坠	UI/GoodsPhoto/14105	饰品		TRUE	4		TRUE	TRUE													1			1						520																									1	0.5	1			72		
14106	琥珀戒指	UI/GoodsPhoto/14106	指环		TRUE	5		TRUE	TRUE													1			1				3600		520																									1	0.5	1	360		72		
14107	弧形利刃	UI/GoodsPhoto/14107	武器		TRUE	0		TRUE	TRUE													1			1						1560																									1	0.5	1			216		
14108	兽皮手套	UI/GoodsPhoto/14107	武器		TRUE	0		TRUE	TRUE													1			1						1560																									1	0.5	1			216		
23101	精铁剑	UI/GoodsPhoto/24101	武器		TRUE	0		TRUE	TRUE		24001|24002|24003											1			2						1980																									1	0.5	1			324		
