Id	Level	WearPart_0	WearPart_1	WearPart_2	WearPart_3	WearPart_4	WearPart_5	ChangeEquipCost	Rate
1	1	50	34	40	20	24	32	0	0.125
2	2	120	81	96	48	57	76	0	0.0625
3	3	210	142	168	84	100	134	0	0.0416
4	4	320	217	256	128	153	204	0	0.0312
5	5	450	306	360	180	216	288	0	0.025
6	6	600	408	480	240	288	384	0	0.0208
7	7	770	523	616	308	369	492	0	0.0178
8	8	960	652	768	384	460	614	0	0.0156
9	9	1170	795	936	468	561	748	1	0.0138
10	10	1400	952	1120	560	672	896	2	0.0125
11	11	2090	1421	1672	836	1003	1337	3	0.0113
12	12	2880	1958	2304	1152	1382	1843	4	0.0104
13	13	3770	2563	3016	1508	1809	2412	5	0.0096
14	14	4760	3236	3808	1904	2284	3046	6	0.0089
15	15	5850	3978	4680	2340	2808	3744	7	0.0083
16	16	7040	4787	5632	2816	3379	4505	8	0.0078
17	17	8330	5664	6664	3332	3998	5331	9	0.0073
18	18	9720	6609	7776	3888	4665	6220	10	0.0069
19	19	11210	7622	8968	4484	5380	7174	11	0.0065
20	20	12800	8704	10240	5120	6144	8192	12	0.0062
21	21	14490	9853	11592	5796	6955	9273	42	0.0059
22	22	16280	11070	13024	6512	7814	10419	44	0.0056
23	23	18170	12355	14536	7268	8721	11628	46	0.0054
24	24	20160	13708	16128	8064	9676	12902	48	0.0052
25	25	22250	15130	17800	8900	10680	14240	50	0.005
26	26	24440	16619	19552	9776	11731	15641	52	0.0048
27	27	26730	18176	21384	10692	12830	17107	54	0.0046
28	28	29120	19801	23296	11648	13977	18636	56	0.0044
29	29	31610	21494	25288	12644	15172	20230	58	0.0043
30	30	34200	23256	27360	13680	16416	21888	60	0.0041
31	31	35402	24073	28321	14160	16992	22657	62	0.004
32	32	36608	24893	29286	14643	17571	23429	64	0.0039
33	33	37818	25716	30254	15127	18152	24203	66	0.0037
34	34	39032	26541	31225	15612	18735	24980	68	0.0036
35	35	40250	27370	32200	16100	19320	25760	70	0.0035
36	36	41472	28200	33177	16588	19906	26542	72	0.0034
37	37	42698	29034	34158	17079	20495	27326	74	0.0033
38	38	43928	29871	35142	17571	21085	28113	76	0.0032
39	39	45162	30710	36129	18064	21677	28903	78	0.0032
40	40	46400	31552	37120	18560	22272	29696	80	0.0031
41	41	47601	32368	38080	19040	22848	30464	82	0.003
42	42	48804	33186	39043	19521	23425	31234	84	0.0029
43	43	50009	34006	40007	20003	24004	32005	86	0.0029
44	44	51216	34826	40972	20486	24583	32778	88	0.0028
45	45	52425	35649	41940	20970	25164	33552	90	0.0027
46	46	53636	36472	42908	21454	25745	34327	92	0.0027
47	47	54849	37297	43879	21939	26327	35103	94	0.0026
48	48	56064	38123	44851	22425	26910	35880	96	0.0026
49	49	57281	38951	45824	22912	27494	36659	98	0.0025
50	50	58500	39780	46800	23400	28080	37440	100	0.0025
51	51	59721	40610	47776	23888	28666	38221	102	0.0024
52	52	60944	41441	48755	24377	29253	39004	104	0.0024
53	53	62169	42274	49735	24867	29841	39788	106	0.0023
54	54	63396	43109	50716	25358	30430	40573	108	0.0023
55	55	64625	43945	51700	25850	31020	41360	110	0.0022
56	56	65856	44782	52684	26342	31610	42147	112	0.0022
57	57	67089	45620	53671	26835	32202	42936	114	0.0021
58	58	68324	46460	54659	27329	32795	43727	116	0.0021
59	59	69561	47301	55648	27824	33389	44519	118	0.0021
60	60	70800	48144	56640	28320	33984	45312	120	0.002
