Level	CostItemID_1	CostItemID_2	CostItemID_3	CostItemID_4	CostNum	Rate
1	101001	101002	101003	101004	4	1.425
2	101001	101002	101003	101004	6	1.425
3	101001	101002	101003	101004	8	1.425
4	101001	101002	101003	101004	10	1.425
5	101001	101002	101003	101004	12	1.425
6	101001	101002	101003	101004	14	1.425
7	101001	101002	101003	101004	16	1.425
8	101001	101002	101003	101004	18	1.425
9	101001	101002	101003	101004	20	1.425
10	101001	101002	101003	101004	40	1.425
11	101001	101002	101003	101004	42	1.425
12	101001	101002	101003	101004	44	1.425
13	101001	101002	101003	101004	46	1.425
14	101001	101002	101003	101004	48	1.425
15	101001	101002	101003	101004	50	1.425
16	101001	101002	101003	101004	52	1.425
17	101001	101002	101003	101004	54	1.425
18	101001	101002	101003	101004	56	1.425
19	101001	101002	101003	101004	58	1.425
20	101001	101002	101003	101004	80	1.425
21	101001	101002	101003	101004	82	1.425
22	101001	101002	101003	101004	84	1.425
23	101001	101002	101003	101004	86	1.425
24	101001	101002	101003	101004	88	1.425
25	101001	101002	101003	101004	90	1.425
26	101001	101002	101003	101004	92	1.425
27	101001	101002	101003	101004	94	1.425
28	101001	101002	101003	101004	96	1.425
29	101001	101002	101003	101004	98	1.425
30	101001	101002	101003	101004	130	1.425
31	101001	101002	101003	101004	132	1.425
32	101001	101002	101003	101004	134	1.425
33	101001	101002	101003	101004	136	1.425
34	101001	101002	101003	101004	138	1.425
35	101001	101002	101003	101004	140	1.425
36	101001	101002	101003	101004	142	1.425
37	101001	101002	101003	101004	144	1.425
38	101001	101002	101003	101004	146	1.425
39	101001	101002	101003	101004	148	1.425
40	101001	101002	101003	101004	190	1.425
41	101001	101002	101003	101004	192	1.425
42	101001	101002	101003	101004	194	1.425
43	101001	101002	101003	101004	196	1.425
44	101001	101002	101003	101004	198	1.425
45	101001	101002	101003	101004	200	1.425
46	101001	101002	101003	101004	202	1.425
47	101001	101002	101003	101004	204	1.425
48	101001	101002	101003	101004	206	1.425
49	101001	101002	101003	101004	208	1.425
50	101001	101002	101003	101004	250	1.425
51	101001	101002	101003	101004	253	1.425
52	101001	101002	101003	101004	256	1.425
53	101001	101002	101003	101004	259	1.425
54	101001	101002	101003	101004	262	1.425
55	101001	101002	101003	101004	265	1.425
56	101001	101002	101003	101004	268	1.425
57	101001	101002	101003	101004	271	1.425
58	101001	101002	101003	101004	274	1.425
59	101001	101002	101003	101004	277	1.425
60	101001	101002	101003	101004	300	1.425
