Id	Type	Name	Description	FollowId	SceneId	LevelLimit	Condition	Args0	Args1	DropId	TriggerGuide	UnlockLegacyId	IsBornMission
#	1=主线任务；2=挑战任务	任务名	描述	后置任务Id	对应关卡Id	等级限制	完成条件: 1=达成等级；2=通关副本n次；3=指定时间通关副本；4=小于n次受击通关副本；5=死亡次数小于n；6=自动完成（日常）；	条件参数:根据Condition配置。Condition=1：对应等级。Condition=2：对应副本；Condition=3：对应时间；Condition=4：对应受击数；Condition=5：对应死亡数	条件参数	任务奖励	出发系统引导	解锁的神器Id	是否出生接取
#主线任务													
10000	1	救星	通关新手关卡	10002	9000		2	9000	1	10001			
10001	1	打开城门	完成普通关卡第一章第1关	10002	1013		2	1013	1	10002			TRUE
10002	1	建立新防区	完成普通关卡第一章第2关	10003	1014		2	1014	1	10003			
10003	1	清除路障Ⅰ	完成普通关卡第一章第3关	10004	1011		2	1011	1	10004			
10004	1	清除路障Ⅱ	完成普通关卡第一章第4关	10005	1015		2	1015	1	10005			
10005	1	黎明的突袭	完成普通关卡第一章第5关	10007	1016		2	1016	1	10006			
10006	1	黎明的突袭	完成普通关卡第一章第5关	10007	1016		2	1016	1	10007			
10007	1	清扫余党	完成普通关卡第一章第6关	10008	1017		2	1017	1	10008		101010	
10008	1	营救村庄	完成普通关卡第一章第7关	10009	1018		2	1018	1	10009			
10009	1	席列的邀约	完成普通关卡第一章第8关	10010	1019		2	1019	1	10010			
10010	1	奇袭计划	完成普通关卡第二章第1关	10011	1021		2	1021	1	10011			
10011	1	急行军Ⅰ	完成普通关卡第二章第2关	10012	1022		2	1022	1	10012			
10012	1	急行军Ⅱ	完成普通关卡第二章第3关	10014	1023		2	1023	1	10013			
10013	2	古萨大桥	完成精英关卡第一章第1关		2011	10	2	2011	1	10014			TRUE
10014	1	暴露行踪	完成普通关卡第二章第4关	10015	1024		2	1024	1	10015			
10015	1	潜入军营	完成普通关卡第二章第5关	10016	1025		2	1025	1	10016			
10016	1	初战伊娜	完成普通关卡第二章第6关	10017	1026		2	1026	1	10017			
10017	1	回援Ⅰ	完成普通关卡第二章第7关	10018	1027		2	1027	1	10018			
10018	1	回援Ⅱ	完成普通关卡第二章第8关	10019	1028		2	1028	1	10019			
10019	1	血色营地	完成普通关卡第二章第9关	10020	1029		2	1029	1	10020			
10020	1	回城Ⅰ	完成普通关卡第三章第1关	10021	1031		2	1031	1	10021			
10021	1	回城Ⅱ	完成普通关卡第三章第2关	10022	1032		2	1032	1	10022			
10022	1	最新军情	完成普通关卡第三章第3关	10023	1033		2	1033	1	10023			
10023	1	继续回城	完成普通关卡第三章第4关	10024	1034		2	1034	1	10024			
10024	1	突袭先锋军	完成普通关卡第三章第5关	10025	1035		2	1035	1	10025			
10025	1	雨夜突袭	完成普通关卡第三章第6关	10026	1036		2	1036	1	10026			
10026	1	斩杀朱洛夫	完成普通关卡第三章第7关	10027	1037		2	1037	1	10027			
10027	1	敌人的反击	完成普通关卡第三章第8关	10028	1038		2	1038	1	10028			
10028	1	救世主现身	完成普通关卡第三章第9关		1039		2	1039	1	10029		101020	
10029	1	暂无	通关第28关	10029	9029		2	9028	1	10030			
10030	1	暂无	通关第29关	10030	9030		2	9029	1	10031			
10031	1	暂无	通关第30关	10031	9031		2	9030	1	10032			
10032	1	暂无	通关第31关	10032	9032		2	9031	1	10033			
10033	1	暂无	通关第32关		9033		2	9032	1	10034			
10034	1	无尽之章	完成普通关卡第五章第9关		1099		2	1099	1	10029		101030	
10035	1	轮回永恒	完成普通关卡第七章第9关		1099		2	1099	1	10029		101040	
#挑战任务													
20001	2	西风小道	完成精英关卡第一章第2关		2012	10	2	2012	1	20001			TRUE
20002	2	清风森林	完成精英关卡第一章第3关		2013	11	2	2013	1	20002			TRUE
20003	2	迪萨城废墟	完成精英关卡第一章第6关		2016	12	2	2016	1	20003			TRUE
21001	2	成就任务	打通第一章		1019	8	2	1019	1	21001			TRUE
21002	2	成就任务	打通第二章		1029	13	2	1029	1	21002			TRUE
#触发新手引导													
30001	2	尚未开放	敬请期待	0	9000	100	2	9000	1	10001			TRUE
#日常任务													
40001	3	战士的坚持	坚持每日完成3个任意关卡	0	2011	19	7	3	0	40001			TRUE
50001	3	领取日薪	军需官按日发饷，好福利啊！	0	2011	8	6	0	0	50001			TRUE
60001	3	夺宝奇兵	完成人鱼王的宝藏任意一关	0	4001	20	2	4001	1	60001			TRUE
70001	3	战神之路	参加一次竞技场活动	0	3001		2	3001	1	70001			TRUE
