Id	Name	ShowName	Level	NpcType	Portrait	Scale	CauseStiff	AcceptStiff	AcceptStiffEffect	AddHpMax	AddEpMax	AddAd	AddADp	AddMDp	AddCri	AddPow	AddBackHitPow	AddCrackPow	AddHpRecover	AddEpRecover	AddSpd	AddWalkSpd	AddFireDam	AddFireErd	AddIceDam	AddIceErd	AddPoisonDam	AddPoisonErd	AddWeight	AddRps	AddAttackRange	SuperArmor	ViewRange	GohomeRange	ReleaseTime	IsRange	SkillList	CanMove	CanHitMove	CanRotate	Model	ActionId	BornEffect	MeetEnemyImpact	MeetEnemyStayTime	MeetEnemyWalkTime	IsAttachControler	AttachNodeName	CanBomb	Cross2StandTime	Cross2RunTime	DeadAnimTime	AvoidanceRadius	ShapeType	ShapeParamNum	ShapeParamName0	ShapeParam0	ShapeParamName1	ShapeParam1	ShapeParamName2	ShapeParam2	ShapeParamName3	ShapeParam3	ShapeParamName4	ShapeParam4	ShapeParamName5	ShapeParam5	ShapeParamName6	ShapeParam6	ShapeParamName7	ShapeParam7
#				类型：0=普通npc；1=技能npc；2=机甲；3=坐骑；4=任务npc；5=pvp塔；6=掉落物品；7=交互npc；8=boss；9=精英;10=场景物体			是否会造成硬直	是否会接受硬直																																																															
#101-200 怪物技能召唤物；200- 掉落包																																																																							
101	飞行投掷物		1	1						10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE		TRUE	TRUE	TRUE									FALSE				1	Circle	1	半径	0.3														
102	刺客影子		1	1						10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE		TRUE	TRUE	TRUE		5							FALSE				1	Circle	1	半径	0.3														
#怪物模板																																																																							
1011	斧头布鲁夫		1	0	G1011					10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	200	FALSE	7	1000	400	TRUE	300103|300104	TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_01	1011			1000	1500			FALSE				1	Circle	1	半径	0.3														
1012	掷矛布鲁夫		1	0	G1012					10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	200	FALSE	10	1000	400	TRUE	300105	TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_02	1012			1000	1500			FALSE				1	Circle	1	半径	0.3														
1013	布鲁夫精英怪		1	0	G1013	1.4				10000	10000	500	250	0	0	0	0	0	0	0	450	118	0	0	0	0	0	0	0	50	200	FALSE	7	1000	400	TRUE	300101|300102	TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_03	1013			1000	1500			FALSE				1	Circle	1	半径	0.3														
1014	纵火布鲁夫		1	0	G1014					10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	200	FALSE	10	1000	400	TRUE	300106	TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_04	1014			1000	1500			FALSE				1	Circle	1	半径	0.3														
1015	哥布林boss		1	0	G1015					10000	10000	500	250	0	0	0	0	0	0	0	500	200	0	0	0	0	0	0	0	50	200	FALSE	13	1000	400	TRUE	300111|300112|300113|300114|300115	TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Boss_Goblin_01	1015			1000	1500			FALSE				1	Circle	1	半径	0.3														
1021	利爪狼人		1	0	G1021					10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300201|300202	TRUE	TRUE	TRUE	Monster/Campaign_Wild/02_Blof/5_Mon_Blof_01	1021			1000	1500			FALSE				1	Circle	1	半径	0.3														
