Level	ConsumeExp	RebornTime
1	64	10
2	160	10
3	288	10
4	448	10
5	832	10
6	1280	10
7	1792	10
8	2368	10
9	3008	10
10	3712	10
11	4480	10
12	5312	10
13	6208	10
14	7168	10
15	8704	10
16	10336	10
17	12064	10
18	14496	10
19	17056	10
20	21088	10
21	27424	10
22	36256	10
23	47776	10
24	62176	10
25	79648	10
26	100384	10
27	124576	10
28	152416	10
29	184096	10
30	219808	10
31	259744	10
32	304096	10
33	353056	10
34	406816	10
35	465568	10
36	529504	10
37	598816	10
38	673696	10
39	754336	10
40	838304	10
41	925664	10
42	1016480	10
43	1110816	10
44	1208736	10
45	1310304	10
46	1415584	10
47	1524640	10
48	1637536	10
49	1754336	10
50	1875104	10
51	1999904	10
52	2128800	10
53	2261856	10
54	2399136	10
55	2540704	10
56	2686624	10
57	2836960	10
58	2991776	10
59	3151136	10
