Id	Name	ChapterName	Type	SubType	Chapter	Order	UnitFile	SceneLogicFile	StoryDslFile	ClientSceneFile	ObstacleFile	BlockInfoFile	TiledDataScale	ReachableSet	Description	DropId	CompletedReward	CompletedTime	CompletedHitCount	CostStamina	RecommendFighting	AtlasPath	SceneIconName	RecoverHpCoefficient	RecoverMpCoefficient
#Type=0-主城；1-单人PVE；2-多人PVE；3-单人PVP SubType=0-剧情/普通场景；1-精英；2-千层塔																	#几星通关奖励	完成时间，用于判断二星通关	受击次数，用于判断三星通关						
#Loading场景																									
0	Loading		4	-1	-1	-1				Loading															
#多人PVE备用																									
3	圣女之歌		2	0	-1	-1	Public/Scenes/Scene_3/Unit.txt	Public/Scenes/Scene_3/SceneLogic.txt	Public/Scenes/Scene_3/Story.dsl	YiZhan_02	Public/Scenes/MapData_1011/Scene.tmx	Public/Scenes/MapData_1011/Scene.map	16			1010	1010|1010|1010			8	276	UI/AtlasPrefab/guankatu01	1		
#主线剧情关卡																									
1010	第一章主城		0	0	-1	-1	Public/Scenes/Scene_1010/Unit.txt	Public/Scenes/Scene_1010/SceneLogic.txt	Public/Scenes/Scene_1010/Story.dsl	WangGuoJun_ChengZhen_01	Public/Scenes/MapData_1100/Scene.tmx	Public/Scenes/MapData_1100/Scene.map	16									UI/AtlasPrefab/guankatu01	1		
#8月版本暂无第一关。为保证9关齐全，插入第四关为临时关卡。编号1011																									
1011	清除“路障”Ⅰ	[fcfb00]第1章[-] 复 仇	1	0	1	2	Public/Scenes/Scene_1011/Unit.txt	Public/Scenes/Scene_1011/SceneLogic.txt	Public/Scenes/Scene_1011/Story.dsl	YiZhan_03	Public/Scenes/MapData_1012/Scene.tmx	Public/Scenes/MapData_1012/Scene.map	16		前往博德遗迹的路上，布鲁夫占据了要道，我们只能踏着他们的尸体前进……	1011	10111	90	3	8	116	UI/AtlasPrefab/guankatu01	1	1	1
1012	救星	[fcfb00]第1章[-] 复 仇	1	0	-1	-1	Public/Scenes/Scene_1012/Unit.txt	Public/Scenes/Scene_1012/SceneLogic.txt	Public/Scenes/Scene_1012/Story.dsl	XuZhang_01	Public/Scenes/MapData_1115/Scene.tmx	Public/Scenes/MapData_1115/Scene.map	16		透过地牢窄小的天窗，星光依稀可见，正在思念艾妲的忽伦，并不知道他的救星来了…	1012	10121			0	100	UI/AtlasPrefab/guankatu01	1	1	1
1013	打开城门	[fcfb00]第1章[-] 复 仇	1	0	1	0	Public/Scenes/Scene_1013/Unit.txt	Public/Scenes/Scene_1013/SceneLogic.txt	Public/Scenes/Scene_1013/Story.dsl	WangGuoJun_ChengZhen_01	Public/Scenes/MapData_1119/Scene.tmx	Public/Scenes/MapData_1119/Scene.map	16		从内部打开布列斯特城的城门，城外等候的友军终于可以入城一战，这座久攻不下的城池瞬间沦陷了。	1013	10131			8	98	UI/AtlasPrefab/guankatu01	1	1	1
1014	建立新防区	[fcfb00]第1章[-] 复 仇	1	0	1	1	Public/Scenes/Scene_1014/Unit.txt	Public/Scenes/Scene_1014/SceneLogic.txt	Public/Scenes/Scene_1014/Story.dsl	ChengWai_01	Public/Scenes/MapData_1118/Scene.tmx	Public/Scenes/MapData_1118/Scene.map	16		涅德泛长官指示白隼分队前往博德遗迹，并在那里建立新的营地防区。	1014	10141			8	107	UI/AtlasPrefab/guankatu01	1	1	1
1015	清除“路障”Ⅱ	[fcfb00]第1章[-] 复 仇	1	0	1	3	Public/Scenes/Scene_1015/Unit.txt	Public/Scenes/Scene_1015/SceneLogic.txt	Public/Scenes/Scene_1015/Story.dsl	WangGuoJun_03	Public/Scenes/MapData_1110/Scene.tmx	Public/Scenes/MapData_1110/Scene.map	16		行军要快，因为托赖辟玛军队也在前往博德遗迹的路上，必须抢占先机！	1015	10151			8	125	UI/AtlasPrefab/guankatu01	1	1	1
1016	黎明的突袭	[fcfb00]第1章[-] 复 仇	1	0	1	4	Public/Scenes/Scene_1016/Unit.txt	Public/Scenes/Scene_1016/SceneLogic.txt	Public/Scenes/Scene_1016/Story.dsl	WangGuoJun_YingDi_03	Public/Scenes/MapData_1114/Scene.tmx	Public/Scenes/MapData_1114/Scene.map	16		虽然我们迟了一步到达，但是趁着这些家伙还在梦里，我们发动了一场黎明的突袭，然后，我们成功了！	1016	10161			8	162	UI/AtlasPrefab/guankatu01	1	1	1
1017	清扫余党	[fcfb00]第1章[-] 复 仇	1	0	1	5	Public/Scenes/Scene_1017/Unit.txt	Public/Scenes/Scene_1017/SceneLogic.txt	Public/Scenes/Scene_1017/Story.dsl	YiZhan_10	Public/Scenes/MapData_1019/Scene.tmx	Public/Scenes/MapData_1019/Scene.map	16		出于周全的考虑，我们必须清扫遗迹周围残余的托赖辟玛士兵，以保证今晚可以睡个好觉。	1017	10171			8	172	UI/AtlasPrefab/guankatu01	1	1	1
1018	营救村庄	[fcfb00]第1章[-] 复 仇	1	0	1	6	Public/Scenes/Scene_1018/Unit.txt	Public/Scenes/Scene_1018/SceneLogic.txt	Public/Scenes/Scene_1018/Story.dsl	YiZhan_07	Public/Scenes/MapData_1016/Scene.tmx	Public/Scenes/MapData_1016/Scene.map	16		托赖辟玛军队又在用火净化无辜的村庄，我们必须解救村子里的人，让邪教徒都见鬼去吧！	1018	10181			8	183	UI/AtlasPrefab/guankatu01	1	1	1
