Id	GoldSum	GoldMin	GoldMax	Exp	Diamond	HpCount	HpPercent	MpCount	MpPercent	GoldModel	GoldParticle	HpModel	HpParticle	MpModel	MpParticle	ItemCount	Item0	Count0	Weight0	Item1	Count1	Weight1	Item2	Count2	Weight2	Item3	Count3	Weight3
1	10	1	1	10		1	15	3	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02													
1010	12	1	2	8		1	15	3	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	916011	10	5	916011	10	5	916011	10	5	916011	10	5
1011	12	1	2	10		1	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101001	1	0	14105	1	5	101001	1	0	101001	2	0
1012	0	0	0	0		1	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	14105	1	5	14102	1	0	101001	1	0	101001	2	0
1013	48	1	6	4		1	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101001	1	5	23105	1	0	23106	1	0	23102	1	0
1014	72	1	9	6		1	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101001	1	5	23101	1	0	23104	1	0	101001	2	25
1015	96	1	12	8		1	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	23106	1	5	23104	1	5	101001	1	25	101001	2	25
1016	120	1	15	10		1	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24104	1	5	24103	1	5	101001	1	25	101001	2	25
1017	144	1	18	12		1	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24105	1	5	24102	1	5	101001	1	25	101001	2	25
1018	168	1	21	14		1	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24106	1	5	24101	1	5	101001	1	25	101001	2	25
