Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	41.09988 159.9872 30.13289		-143.9509	FALSE		0																
20002	2	3	41.09988 159.9872 30.13289		-143.9509	FALSE		0																
#第一波																								
1001	102901	2	19.07068 159.9872 16.73048		29.27565	FALSE		10110		0														
1002	102901	2	21.91659 159.9872 18.43803		29.27562	FALSE		10110		0														
1003	102902	2	19.7598 159.9872 19.65751		99.12425	FALSE		10120		0														
1004	102901	2	24.44629 159.9872 37.41076		29.27562	FALSE		10110		0														
1005	102901	2	19.76635 159.9872 36.52536		29.27562	FALSE		10110		0														
1006	102902	2	15.33938 159.9872 30.45409		29.27562	FALSE		10120		0														
1007	102903	2	39.0553 159.9872 24.38281		29.27562	FALSE		10120		0														
1008	102903	2	37.91694 159.9872 32.28811		29.27562	FALSE		10120		0														
#第二波																								
2001	102901	2	19.07068 159.9872 16.73048		29.27565	FALSE		10110		0														
2002	102904	2	21.91659 159.9872 18.43803		29.27562	FALSE		10220		0														
2003	102901	2	19.7598 159.9872 19.65751		99.12425	FALSE		10110		0														
2004	102904	2	39.0553 159.9872 24.38281		29.27562	FALSE		10220		0														
2005	102904	2	37.91694 159.9872 32.28811		29.27562	FALSE		10220		0														
2006	102905	2	43.03957 159.9872 30.51733		29.27562	FALSE		10210		0														
2007	102904	2	24.44629 159.9872 37.41076		29.27562	FALSE		10220		0														
2008	102905	2	19.76635 159.9872 36.52536		29.27562	FALSE		10210		0														
#第三波																								
3001	102901	2	39.0553 159.9872 24.38281		29.27562	FALSE		10110		0														
3002	102901	2	37.91694 159.9872 32.28811		29.27562	FALSE		10110		0														
3003	102903	2	43.03957 159.9872 30.51733		29.27562	FALSE		10120		0														
3004	102906	2	19.07068 159.9872 16.73048		29.27565	FALSE		10130		0														
3005	102902	2	21.91659 159.9872 18.43803		29.27562	FALSE		10120		0														
3006	102902	2	19.7598 159.9872 19.65751		99.12425	FALSE		10120		0														
3007	102901	2	24.44629 159.9872 37.41076		29.27562	FALSE		10110		0														
3008	102903	2	19.76635 159.9872 36.52536		29.27562	FALSE		10120		0														
3009	102903	2	15.33938 159.9872 30.45409		29.27562	FALSE		10120		0														
#第四波																								
4001	102904	2	19.07068 159.9872 16.73048		29.27565	FALSE		10220		0														
4002	102904	2	21.91659 159.9872 18.43803		29.27562	FALSE		10220		0														
4003	102905	2	19.7598 159.9872 19.65751		99.12425	FALSE		10210		0														
4004	102901	2	24.44629 159.9872 37.41076		29.27562	FALSE		10110		0														
4005	102902	2	19.76635 159.9872 36.52536		29.27562	FALSE		10120		0														
4006	102903	2	15.33938 159.9872 30.45409		29.27562	FALSE		10120		0														
4007	102906	2	39.0553 159.9872 24.38281		29.27562	FALSE		10130		0														
4008	102903	2	37.91694 159.9872 32.28811		29.27562	FALSE		10120		0														
4009	102901	2	43.03957 159.9872 30.51733		29.27562	FALSE		10110		0														
#第五波																								
5001	102906	2	24.44629 159.9872 37.41076		29.27562	FALSE		10130		0														
5002	102901	2	19.76635 159.9872 36.52536		29.27562	FALSE		10110		0														
5003	102901	2	15.33938 159.9872 30.45409		29.27562	FALSE		10110		0														
5004	102904	2	19.07068 159.9872 16.73048		29.27565	FALSE		10220		0														
5005	102905	2	21.91659 159.9872 18.43803		29.27562	FALSE		10210		0														
5006	102904	2	19.7598 159.9872 19.65751		99.12425	FALSE		10220		0														
5007	102907	2	39.0553 159.9872 24.38281		29.27562	FALSE		10130		0														
5008	102903	2	37.91694 159.9872 32.28811		29.27562	FALSE		10120		0														
5009	102902	2	43.03957 159.9872 30.51733		29.27562	FALSE		10120		0														
5010	102902	2	37.91694 159.9872 32.28811		29.27562	FALSE		10120		0														
