Id	LinkId	CampId	Pos	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	79.96451 150.0567 11.98047	-37.77667	FALSE		0																
20002	2	3	79.96451 150.0567 11.98047	-37.77667	FALSE		0																
#A区																							
1001	90034	2	75.25992 150.0567 18.53032	172.5289	FALSE	15|16|17	20001		0														
1002	90034	2	77.8241 150.0567 18.69483	196.0962	FALSE	15|16|17	20001		0														
1003	90034	2	80.26547 150.0567 18.28794	196.0963	FALSE	15|16|17	20001		0														
1004	90034	2	67.58562 150.0567 22.82566	168.0959	FALSE	15|16|17	20001		1		72.79977 150.0567 17.86462												
1005	90034	2	68.72714 150.0567 32.52292	209.1217	FALSE	15|16|17	20001		1		60.02002 150.0567 29.23244												
1006	90035	2	64.67735 150.0313 21.84615	114.7889	FALSE	15|16|17	20002		0														
1007	90035	2	72.51839 150.0313 30.52632	175.253	FALSE	15|16|17	20002		0														
#B区																							
2001	90031	2	46.19135 150.0092 34.3968	133.1965	FALSE	15|16|17	20001		0														
2002	90031	2	45.19878 150.0092 43.92451	156.7133	FALSE	15|16|17	20001		0														
2003	90031	2	53.89708 150.0092 46.86123	273.1996	FALSE	15|16|17	20001		1		48.24109 150.0092 46.92407												
2004	90032	2	53.72424 150.0092 41.59238	229.7121	FALSE	15|16|17	20001		1		49.76504 150.0092 35.99923												
2005	90032	2	46.59332 150.0092 45.07101	190.5424	FALSE	15|16|17	20001		0														
2006	90033	2	45.60658 150.0099 32.74297	354.5616	FALSE	15|16|17	20001		0														
2007	90033	2	54.39809 150.0099 42.94016	162.0344	FALSE	15|16|17	20001		0														
2008	90033	2	42.3204 150.0099 40.93169	127.7845	FALSE	15|16|17	20001		1		48.79336 150.0099 39.04636												
#C区																							
3001	90036	2	34.46029 151.236 57.29198	132.8518	FALSE	15|16|17	20001		0														
3002	90036	2	42.45897 151.236 63.995	171.4843	FALSE	15|16|17	20001		0														
3003	90036	2	36.49372 151.236 72.77232	163.648	FALSE	15|16|17	20001		0														
3004	90036	2	30.29869 151.236 67.01936	124.4802	FALSE	15|16|17	20001		1		39.62041 151.236 65.31256												
3005	90034	2	44.0401 151.2374 61.82322	351.4447	FALSE	15|16|17	20001		1		38.06633 151.2374 58.0814												
3006	90034	2	32.80653 151.2374 56.10553	30.35796	FALSE	15|16|17	20001		0														
3007	90034	2	35.63738 151.2374 71.34254	144.3198	FALSE	15|16|17	20001		0														
3008	90035	2	32.74122 151.2501 61.42293	0	FALSE	15|16|17	20002		1		32.15041 151.2501 58.00935												
3009	90035	2	39.56521 151.2501 71.91237	227.5795	FALSE	15|16|17	20002		0														
