Id	LogicId	GfxLogicId	Description	ImpactType	ImpactTime	BreakSuperArmor	DamageType	ElementType	DamageValue	DamageRate	LevelRate	BuffDataId	MaxRank	AnimationInfo	LockFrameInfo	AnimationType	MoveMode	CurveMove	AdjustPoint	AdjustAppend	AdjustDegreeXZ	AdjustDegreeY	MaxDist	FallDownTime	OnGroundTime	GetUpTime	IsDeadDisappear	CanBeCancel	IsAbsorbHurt	IsReflect	IsDamageDisappear	IsFightDisappear	IsShootDisappear	IsSkillDisappear	Effect0	Effect1	Effect2	Effect3	Effect4	ParamNum	ParamDesc0	Param0	ParamDesc1	Param1	ParamDesc2	Param2	ParamDesc3	Param3	ParamDesc4	Param4	ParamDesc5	Param5	ParamDesc6	Param6	ParamDesc7	Param7
#	逻辑ID：1=常规；2=霸体buff；3=伤害免疫buff;4=切换技能；5=去除impact；6=伤害调整Impact；	表现ID：0=无；1=硬直；2=击飞；3=击倒；4=抓取。		类型：1=buff；2=非buff		是否破霸体	伤害类型：0=物理伤害；1=魔法伤害。	元素类型： 1=火；2=冰；3=毒。	固定伤害	伤害系数	等级系数	buffID，索引自BuffData.txt	buff最大层数	动作信息：startTime [time speed]+	定帧信息：startTime [time speed]+	动作类型：0=正面受击，1=右面受击，2=左面受击， 可配置为 0|1|2 ，为随机选择一个播放。【只有在硬直时起作用】。	移动方式：0=施法者方向；1=施法者到受击者方向	starttime， [movetime， speedx， speedy， speedz， accelx， accely， accelz]+		调节附加	水平调整	垂直调整	最大位移		仅击飞击倒有效										特效：当配置多个id时，随机选择一个播放。索引自EffectData.txt	特效：索引自EffectData.txt	特效：索引自EffectData.txt	特效：索引自EffectData.txt	特效：索引自EffectData.txt																	
701	1	4	测试-抓取效果	1	5000	FALSE	1		0		0.1	0	0			1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
702	5	0	测试-停止抓取效果	1	5000	FALSE	1		0		0.1	0	0			1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	停止逻辑编号	4	类型id：0=impactid，1=logicid，2=gfxid	2												
10209	14	1	剑士普攻1段受击	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	HP伤害	-68	死亡时效果	4001												
10210	14	1	枪手击退伤害	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	HP伤害	-33	死亡时效果	4001												
10211	14	1	剑士普攻2段受击	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	HP伤害	-82	死亡时效果	4001												
10212	14	1	莲花击高	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	HP伤害	-145	死亡时效果	4001												
10213	14	1	枪手火球伤害	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	HP伤害	-75	死亡时效果	4001												
10214	14	1	枪手普攻1击高	1	1000	FALSE	1		0		0.1	0	10	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	HP伤害	-145	死亡时效果	4001												
10215	15	1	枪手普攻3伤害	2	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	HP伤害	-200	HP伤害百分比	0												
10301	14	1	剑士裂地斩效果	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	HP伤害	-75	死亡时效果	4001												
100101	1	1	剑士普攻1	1	1000	FALSE	1		0		0.1	0	0	0 0.1 0.1 0.1 0.9 0.4 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-100	怒气值	1										
100201	1	1	剑士普攻2	1	1000	FALSE	1		0		0.1	0	0	0 0.1 0.1 0.1 0.9 0.4 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-85	怒气值	1										
100301	1	1	剑士普攻3	1	1000	FALSE	1		0		0.1	0	0	0 0.1 0.1 0.1 0.9 0.4 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-85	怒气值	1										
100401	1	2	剑士普攻4	1	1000	FALSE	1		0		0.1	0	0	0 0.1 0.1 0.1 0.9 0.4 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-130	怒气值	1										
100102	1	1	空-剑士普攻1	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-100	怒气值	1										
100202	1	1	空-剑士普攻2	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-85	怒气值	1										
100302	1	1	空-剑士普攻3	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-85	怒气值	1										
100402	1	1	空-剑士普攻4	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-130	怒气值	1										
110101	1	1	冲锋（远）	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-400	怒气值	1										
110102	1	1	冲锋	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-400	怒气值	1										
110103	1	1	冲锋	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-400	怒气值	1										
110104	1	1	冲锋（近）	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-400	怒气值	1										
120101	1	1	神鬼斩	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-110	怒气值	1										
121101	1	1	烈刃狂斩	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-150	怒气值	1										
122101	1	1	蓄力重斩	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-1100	怒气值	1										
130101	1	1	火焰拳	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-200	怒气值	1										
131101	1	1	火焰拖曳	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-70	怒气值	1										
132101	1	1	火焰爆破	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-50	怒气值	1										
132102	1	1	火焰爆破爆炸	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-600	怒气值	1										
131102	1	1	火焰拖拽爆炸	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-1000	怒气值	1										
140101	1	1	挑空	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-150	怒气值	2										
141101	1	1	剑士空斩1	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-110	怒气值	1										
141102	1	1	剑士空斩2	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-110	怒气值	1										
141103	1	1	剑士空斩3	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-110	怒气值	1										
141104	1	1	剑士空斩4	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-135	怒气值	1										
141105	1	1	剑士空斩5	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-150	怒气值	1										
141106	1	1	剑士空斩6	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-170	怒气值	1										
142101	1	1	三连突	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-250	怒气值	1										
170101	1	1	ex段1	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	延时	0	HP伤害	-50												
170102	1	1	ex段2	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	延时	0	HP伤害	-350												
170103	1	1	ex段3	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							2	延时	0	HP伤害	-350												
180001	2	1	无敌	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE																							
#剑士消耗																							10																																	
170104	1	1	ex消耗	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	-100										
110111	1	1	冲锋	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
120111	1	1	神鬼斩	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
121111	1	1	烈刃狂斩	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
122111	1	1	蓄力重斩	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
130111	1	1	火焰拳	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
131111	1	1	火焰拖曳	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
132111	1	1	火焰爆破	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
140111	1	1	挑空	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
141111	1	1	剑士空斩	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
142111	1	1	三连突	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
#枪手效果																							10																																	
200011	1	1	枪手1	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-10	怒气值	1										
200012	1	1	枪手2	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-50	怒气值	1										
200013	1	1	枪手3	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-100	怒气值	1										
200014	1	1	枪手4	1	1000	FALSE	1		0		0.1	0	0	0 0.5 0.1 0.1 1		1|2	0		0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	-1000	怒气值	1										
#刺客																							10																																	
12990000	1	0	空状态	1	10	FALSE	0			0		0	0	0 0.1 0.1 0.1 0.9 0.4 1		0	0	0 0.2 0 0 15 0 0 -100	0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							3	延时	0	HP伤害	0	怒气值	0										
12990001	2	0	霸体	1	1000	FALSE	0			0		0	0	0 0.1 0.1 0.1 0.9 0.4 1		2	0	0 0.2 0 0 15 0 0 -100	0 5 3	0	0	0	10				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE							1	霸体类型	1														
