Id	LogicDataFile	Description	TrueDescription	Icon	ActivateLevel	Passivity	RangeMin	RangeMax	SkillCoefficient	TargetType	TargetSelectType	CD	CostHp	CostRage	CostEnergy	CostEnergyCore	CostItemId	BreakType	Category	LevelUpCostType	LiftSkillId	LiftCostItem	LiftCostItemNum	CanStartWhenStiffness	CanStartWhenHitFly	CanStartWhenKnockDown	NextSkillId	QSkillId	ESkillId	LockInputTime	NextInputTime	TargetChooseRange	ShowName	ShowDescription	ShowAtlasPath	ShowIconName	ShowCD	ShowSteps	ShowCostEnergy	ShowDamage	ShowDamagePerLevel	ShowSteps2Dec	ShowSteps3Dec	ShowSteps4Dec
1		翻滚	翻滚		0	0			0	3	4	1	0		0	0	0	10	1								2			0	0.9													
2		剑士裂地斩	裂地斩		1	0			0	2	2	2	0		0	0	0	10	1								3			0	0.6													
3		枪手普攻1			1	0			0	2	2	1	0		0	0	0	10	1								4			0	0.6													
4		剑士普攻1			1	0			0	2	2	1	0		0	0	0	10	1											0	2													
5	test.dsl	枪手火球			1	0			0	2	2	1	0		0	0	0																											
6	test.dsl	剑士普攻2			1	0			0	2	2	1	0		0	0	0																											
7	test.dsl	剑士莲花斩			1	0			0	2	2	1	0		0	0	0																											
8	test.dsl	枪手连发射击			1	0			0	2	2	1	0		0	0	0																											
9	test.dsl	枪手浮空射击			1	0			0	2	2	1	0		0	0	0																											
10	test.dsl	枪手终结射击			1	0			0	2	2	1	0		0	0	0																											
11	test.dsl	剑士跳斩			1	0			0	2	2	1	0		0	0	0																											
12	test.dsl	枪手召唤钢筋			1	0			0	2	2	1	0		0	0	0																											
100	test.dsl	粘贴技能测试			1	0			0	2	2	1	0		0	0	0	30	2																									
#剑士																																												
110001	jianshi/jianshi_pugong.dsl	剑士普攻1			1	0			0	2	2	1	0		0	0	0	10	1								110002			0	0.9													
110002	jianshi/jianshi_pugong.dsl	剑士普攻2			1	0			0	2	2	1	0		0	0	0	10	1								110003			0	0.8													
110003	jianshi/jianshi_pugong.dsl	剑士普攻3			1	0			0	2	2	1	0		0	0	0	10	1								110004			0	0.8													
110004	jianshi/jianshi_pugong.dsl	剑士普攻4			1	0			0	2	2	1	0		0	0	0	10	1											0	2													
110011	jianshi/jianshi_pugong.dsl	剑士普攻-接近			1	0			0	2	2	1	0		0	0	0	10	11																									
110101	jianshi/jianshi_shanshen.dsl	剑士闪身			1	0			0	2	2	1	0		0	0	0	30	8																									
110201	jianshi/jianshi_jianchong.dsl	剑士剑冲			1	0			0	2	2	2	0		0	0	0	30	3																									
110301	jianshi/jianshi_tiaokong.dsl	剑士挑空			1	0			0	2	2	1	0		0	0	0	30	4								110302				2													
110302	jianshi/jianshi_tiaokong.dsl	剑士空中连击			1	0			0	2	2	1	0		0	0	0	30	4																									
110401	jianshi/jianshi_shenguizhan.dsl	剑士神鬼斩			1	0			0	2	2	1	0		0	0	0	30	5																									
110501	jianshi/jianshi_xulizhongzhan.dsl	剑士蓄力重斩			1	0			0	2	2	1	0		0	0	0	30	2																									
110601		剑士烈刃狂斩			1	0			0	2	2	1	0		0	0	0	30																										
110701	jianshi/jianshi_huoyanbaopo.dsl	剑士火焰爆破			1	0			0	2	2	1	0		0	0	0	30	2																									
110801		剑士火焰拖曳			1	0			0	2	2	1	0		0	0	0	30	3																									
110901		剑士三连突			1	0			0	2	2	1	0		0	0	0	30																										
#刺客																																												
#    刺客基础技能																																												
120000	Cike/Cike_Combat2Idle.dsl	从战斗状态切换为非战状态			1	0			0	2	2	1	0		0	0	0	0	12											0	1													
120001	Cike/Cike_Hit_01.dsl	刺客普攻一段			1	0			0	2	2	0.1	0		0	0	0	100	1								120002			0.3	1				UI_AtlasDynamic\skill\skill	attack2								
120002	Cike/Cike_Hit_02.dsl	刺客普攻二段			1	0			0	2	2	0.1	0		0	0	0	100	1								120003			0.3	1				UI_AtlasDynamic\skill\skill	attack2								
120003	Cike/Cike_Hit_03.dsl	刺客普攻三段			1	0			0	2	2	0.1	0		0	0	0	100	1								120004			0.3	1				UI_AtlasDynamic\skill\skill	attack2								
120004	Cike/Cike_Hit_04.dsl	刺客普攻四段			1	0			0	2	2	0.1	0		0	0	0	100	1											0.3	1				UI_AtlasDynamic\skill\skill	attack2								
120005	Cike/Cike_BeCool.dsl	刺客扮酷			1	0			0	2	2	1	0		0	0	0	0	13											0	1													
125101	Cike/level04/Cike_Skill06_shadow01.dsl	影袭影子攻击一段			1	0			0	2	2	1	0		0	0	0	100	1											0.3	1				UI_AtlasDynamic\skill\skill	attack2								
125102	Cike/level04/Cike_Skill06_shadow02.dsl	影袭影子攻击二段			1	0			0	2	2	1	0		0	0	0	100	1											0.3	1				UI_AtlasDynamic\skill\skill	attack2								
125103	Cike/level04/Cike_Skill06_shadow03.dsl	影袭影子攻击三段			1	0			0	2	2	1	0		0	0	0	100	1											0.3	1				UI_AtlasDynamic\skill\skill	attack2								
125201	Cike/level04/Cike_Skill08_shadow01.dsl	影子模仿			1	0			0	2	2	1	0		0	0	0	100	1											0.3	1				UI_AtlasDynamic\skill\skill	attack2								
125202	Cike/level04/Cike_Skill08_shadow02.dsl	须佐影子攻击二段			1	0			0	2	2	1	0		0	0	0	100	1											0.3	1				UI_AtlasDynamic\skill\skill	attack2								
125203	Cike/level04/Cike_Skill08_shadow03.dsl	须佐影子攻击三段			1	0			0	2	2	1	0		0	0	0	100	1											0.3	1				UI_AtlasDynamic\skill\skill	attack2								
125301	Cike/level04/Cike_Skill04_shadow01.dsl	瞬身影子			1	0			0	2	2	1	0		0	0	0	100	1											0.3	1				UI_AtlasDynamic\skill\skill	attack2								
125401	Cike/level04/Cike_Skill07_shadow01.dsl	瞬狱影杀阵影子桩子			1	0			0	2	2	1	0		0	0	0	100	1											0.3	1				UI_AtlasDynamic\skill\skill	attack2								
125402	Cike/level04/Cike_Skill07_shadow02.dsl	瞬狱影杀阵影子1			1	0			0	2	2	1	0		0	0	0	100	1											0.3	1				UI_AtlasDynamic\skill\skill	attack2								
125403	Cike/level04/Cike_Skill07_shadow03.dsl	瞬狱影杀阵影子2			1	0			0	2	2	1	0		0	0	0	100	1											0.3	1				UI_AtlasDynamic\skill\skill	attack2								
#    刺客一阶技能																																												
120112	Cike/level01/Cike_Skill01_12.dsl	突斩二段			1	0			0	2	2	7	0		0	0	0	11	2		120122									0.4	1.5				UI_AtlasDynamic/skill/skill	ck01	0	4						
120211	Cike/level01/Cike_Skill02_11.dsl	上挑			1	0			0	2	2	7	0		0	0	0	21	3		120221	916021	10							0.4	1.5		上挑	挥刀上挑将身前目标击飞，并照成一定伤害	UI_AtlasDynamic/skill/skill	ck02	5	4		8.6	0.344	上挑后可追加二段飞踢，将目标再次击飞，同时腾空	飞踢后可追加两次攻击和影流矢	影流矢会对命中的目标影伤效果
120312	Cike/level01/Cike_Skill03_12.dsl	风刃杀二段			1	0			0	2	2	10	0		0	0	0	10	4		120322	916031	10							0.5	1.5		风刃杀	旋转身体垂直上踢，将周围目标击飞，并照成一定伤害	UI_AtlasDynamic/skill/skill	ck03	14	4		12.6	0.504	增加风刃杀的范围	风刃杀后可追加升龙刃，最目标照成对此打击	强化升龙刃，使升龙刃可以获得更多的打击次数
120411	Cike/level01/Cike_Skill04_11.dsl	瞬身一段			1	0			0	2	2	6	0		0	0	0	11	5		120421	916041	10							0.2	1.5		瞬身	向身前瞬身一段距离，对沿途穿过的目标造成少量伤害	UI_AtlasDynamic/skill/skill	ck04	6	4		1	0.04	减少瞬身术的CD时间	瞬身后可再次追加瞬身二段	进一步减少瞬身术的CD时间
120413	Cike/level01/Cike_Skill04_13.dsl	受身瞬身			1	0			0	2	2	1	0		0	0	0	11	5		120423									0	1.5						0	4						
120511	Cike/level01/Cike_Skill05_11.dsl	瞬身前斩			1	0			0	2	2	17	0		0	0	0	11	10		120521						120512			0	1		瞬身斩	瞬身斩·一阶			0	4						
120512	Cike/level01/Cike_Skill05_12.dsl	瞬身后斩			1	0			0	2	2	0	0		0	0	0	11	10		120522									0	1						0	4						
120611	Cike/level01/Cike_Skill06_11.dsl	影袭二段1			1	0			0	2	2	5	0		0	0	0	10	10		120621						120612			0	1		飞影	飞影·一阶			0	4						
120612	Cike/level01/Cike_Skill06_12.dsl	影袭二段2			1	0			0	2	2	1	0		0	0	0	10	10		120622									0	1						0	4						
#    刺客二阶技能																																												
120122	Cike/level02/Cike_Skill01_22.dsl	突斩二段			1	0			0	2	2	7	0		0	0	0	11	2		120132									0.4	1.5				UI_AtlasDynamic/skill/skill	ck01	0	2						
120221	Cike/level02/Cike_Skill02_21.dsl	上挑			1	0			0	2	2	7	0		0	0	0	21	3		120231	916021	30				120222			0.4	1.5		上挑	挥刀上挑将身前目标击飞，并照成一定伤害	UI_AtlasDynamic/skill/skill	ck02	5	2		8.6	0.344	上挑后可追加二段飞踢，将目标再次击飞，同时腾空	飞踢后可追加两次攻击和影流矢	影流矢会对命中的目标影伤效果
120222	Cike/level02/Cike_Skill02_22.dsl	飞踢			1	0			0	2	2	6	0		0	0	0	21	3		120232									0.1	1				UI_AtlasDynamic/skill/skill	ck02	2	2						
120322	Cike/level02/Cike_Skill03_22.dsl	风刃杀二段			1	0			0	2	2	10	0		0	0	0	10	4		120332	916031	30							0.5	1.5		风刃杀	旋转身体垂直上踢，将周围目标击飞，并照成一定伤害	UI_AtlasDynamic/skill/skill	ck03	14	2		12.6	0.504	增加风刃杀的范围	风刃杀后可追加升龙刃，最目标照成对此打击	强化升龙刃，使升龙刃可以获得更多的打击次数
120421	Cike/level02/Cike_Skill04_21.dsl	瞬身一段			1	0			0	2	2	6	0		0	0	0	11	5		120431	916041	30							0.2	1.5		瞬身	向身前瞬身一段距离，对沿途穿过的目标造成少量伤害	UI_AtlasDynamic/skill/skill	ck04	6	2		1	0.04	减少瞬身术的CD时间	瞬身后可再次追加瞬身二段	进一步减少瞬身术的CD时间
120423	Cike/level02/Cike_Skill04_23.dsl	受身瞬身			1	0			0	2	2	1	0		0	0	0	11	5		120433									0	1						0	2						
120521	Cike/level02/Cike_Skill05_21.dsl	瞬身前斩			1	0			0	2	2	17	0		0	0	0	11	10		120531						120522			0	1		瞬身斩	瞬身斩·二阶			0	2						
120522	Cike/level02/Cike_Skill05_22.dsl	瞬身后斩			1	0			0	2	2	0	0		0	0	0	11	10		120532									0	1						0	2						
120621	Cike/level02/Cike_Skill06_21.dsl	影袭二段1			1	0			0	2	2	5	0		0	0	0	10	10		120631						120622			0	1		飞影	飞影·二阶			0	2						
120622	Cike/level02/Cike_Skill06_22.dsl	影袭二段2			1	0			0	2	2	1	0		0	0	0	10	10		120632									0	1						0	2						
#    刺客三阶技能																																												
120132	Cike/level03/Cike_Skill01_32.dsl	突斩二段			1	0			0	2	2	7	0		0	0	0	11	2		120142						120133			0.4	1				UI_AtlasDynamic/skill/skill	ck01	0	3						
120133	Cike/level03/Cike_Skill01_33.dsl	回旋踢			1	0			0	2	2	0	0		0	0	0	11	2		120143									0.3	1.5				UI_AtlasDynamic/skill/skill	ck01	0	3						
120231	Cike/level03/Cike_Skill02_31.dsl	上挑			1	0			0	2	2	7	0		0	0	0	21	3		120241	916021	60				120232			0.4	1.5		上挑	挥刀上挑将身前目标击飞，并照成一定伤害	UI_AtlasDynamic/skill/skill	ck02	5	3		8.6	0.344	上挑后可追加二段飞踢，将目标再次击飞，同时腾空	飞踢后可追加两次攻击和影流矢	影流矢会对命中的目标影伤效果
120232	Cike/level03/Cike_Skill02_32.dsl	飞踢			1	0			0	2	2	6	0		0	0	0	21	3		120242						120233			0.1	1				UI_AtlasDynamic/skill/skill	ck02	2	3						
120233	Cike/level03/Cike_Skill02_33.dsl	追加一段			1	0			0	2	2	0	0		0	0	0	21	3		120243						120234			0.1	1				UI_AtlasDynamic/skill/skill	ck02	0	3						
120234	Cike/level03/Cike_Skill02_34.dsl	追加二段			1	0			0	2	2	0	0		0	0	0	21	3		120244									0.6	1				UI_AtlasDynamic/skill/skill	ck02	0	3						
