Level	SkillType_1	SkillType_2	SkillType_3	SkillType_4	SkillType_5	SkillType_6	SkillType_7	SkillType_8	SkillType_9	SkillType_10	Rate
1	30	42	44	46	46	46	48	48	50	0	0.125
2	72	100	105	110	110	110	115	115	120	0	0.0625
3	126	176	184	193	193	193	201	201	210	0	0.0416
4	192	268	281	294	294	294	307	307	320	0	0.0312
5	270	378	396	414	414	414	432	432	450	0	0.025
6	360	504	528	552	552	552	576	576	600	0	0.0208
7	462	646	677	708	708	708	739	739	770	0	0.0178
8	576	806	844	883	883	883	921	921	960	0	0.0156
9	702	982	1029	1076	1076	1076	1123	1123	1170	0	0.0138
10	840	1176	1232	1288	1288	1288	1344	1344	1400	0	0.0125
11	1254	1755	1839	1922	1922	1922	2006	2006	2090	0	0.0113
12	1728	2419	2534	2649	2649	2649	2764	2764	2880	0	0.0104
13	2262	3166	3317	3468	3468	3468	3619	3619	3770	0	0.0096
14	2856	3998	4188	4379	4379	4379	4569	4569	4760	0	0.0089
15	3510	4914	5148	5382	5382	5382	5616	5616	5850	0	0.0083
16	4224	5913	6195	6476	6476	6476	6758	6758	7040	0	0.0078
17	4998	6997	7330	7663	7663	7663	7996	7996	8330	0	0.0073
18	5832	8164	8553	8942	8942	8942	9331	9331	9720	0	0.0069
19	6726	9416	9864	10313	10313	10313	10761	10761	11210	0	0.0065
20	7680	10752	11264	11776	11776	11776	12288	12288	12800	0	0.0062
21	8694	12171	12751	13330	13330	13330	13910	13910	14490	0	0.0059
22	9768	13675	14326	14977	14977	14977	15628	15628	16280	0	0.0056
23	10902	15262	15989	16716	16716	16716	17443	17443	18170	0	0.0054
24	12096	16934	17740	18547	18547	18547	19353	19353	20160	0	0.0052
25	13350	18690	19580	20470	20470	20470	21360	21360	22250	0	0.005
26	14664	20529	21507	22484	22484	22484	23462	23462	24440	0	0.0048
27	16038	22453	23522	24591	24591	24591	25660	25660	26730	0	0.0046
28	17472	24460	25625	26790	26790	26790	27955	27955	29120	0	0.0044
29	18966	26552	27816	29081	29081	29081	30345	30345	31610	0	0.0043
30	20520	28728	30096	31464	31464	31464	32832	32832	34200	0	0.0041
31	21241	29737	31153	32569	32569	32569	33985	33985	35402	0	0.004
32	21964	30750	32215	33679	33679	33679	35143	35143	36608	0	0.0039
33	22690	31767	33279	34792	34792	34792	36305	36305	37818	0	0.0037
34	23419	32786	34348	35909	35909	35909	37470	37470	39032	0	0.0036
35	24150	33810	35420	37030	37030	37030	38640	38640	40250	0	0.0035
36	24883	34836	36495	38154	38154	38154	39813	39813	41472	0	0.0034
37	25618	35866	37574	39282	39282	39282	40990	40990	42698	0	0.0033
38	26356	36899	38656	40413	40413	40413	42170	42170	43928	0	0.0032
39	27097	37936	39742	41549	41549	41549	43355	43355	45162	0	0.0032
40	27840	38976	40832	42688	42688	42688	44544	44544	46400	0	0.0031
41	28560	39984	41888	43792	43792	43792	45696	45696	47601	0	0.003
42	29282	40995	42947	44899	44899	44899	46851	46851	48804	0	0.0029
43	30005	42007	44007	46008	46008	46008	48008	48008	50009	0	0.0029
44	30729	43021	45070	47118	47118	47118	49167	49167	51216	0	0.0028
45	31455	44037	46134	48231	48231	48231	50328	50328	52425	0	0.0027
46	32181	45054	47199	49345	49345	49345	51490	51490	53636	0	0.0027
47	32909	46073	48267	50461	50461	50461	52655	52655	54849	0	0.0026
48	33638	47093	49336	51578	51578	51578	53821	53821	56064	0	0.0026
49	34368	48116	50407	52698	52698	52698	54989	54989	57281	0	0.0025
50	35100	49140	51480	53820	53820	53820	56160	56160	58500	0	0.0025
51	35832	50165	52554	54943	54943	54943	57332	57332	59721	0	0.0024
52	36566	51192	53630	56068	56068	56068	58506	58506	60944	0	0.0024
53	37301	52221	54708	57195	57195	57195	59682	59682	62169	0	0.0023
54	38037	53252	55788	58324	58324	58324	60860	60860	63396	0	0.0023
55	38775	54285	56870	59455	59455	59455	62040	62040	64625	0	0.0022
56	39513	55319	57953	60587	60587	60587	63221	63221	65856	0	0.0022
57	40253	56354	59038	61721	61721	61721	64405	64405	67089	0	0.0021
58	40994	57392	60125	62858	62858	62858	65591	65591	68324	0	0.0021
59	41736	58431	61213	63996	63996	63996	66778	66778	69561	0	0.0021
60	42480	59472	62304	65136	65136	65136	67968	67968	70800	0	0.002
